"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
5,"GunWhite",7,1,"Hit",559,"bg07b","Gun","White",102015,25,"männlich"
5,"ObjectWhite",8,1,"CR",594,"bg08a","Object","White",102015,25,"männlich"
5,"ObjectWhite",18,1,"CR",621,"bg18a","Object","White",102015,25,"männlich"
5,"ObjectWhite",3,1,"CR",518,"bg03a","Object","White",102015,25,"männlich"
5,"GunBlack",10,0,"Miss",678,"bg10d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",2,1,"Hit",565,"bg02d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",4,1,"Hit",564,"bg04b","Gun","White",102015,25,"männlich"
5,"GunBlack",5,1,"Hit",626,"bg05d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",2,1,"Hit",662,"bg02b","Gun","White",102015,25,"männlich"
5,"GunWhite",14,1,"Hit",687,"bg14b","Gun","White",102015,25,"männlich"
5,"ObjectBlack",14,1,"CR",675,"bg14c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",7,1,"CR",711,"bg07a","Object","White",102015,25,"männlich"
5,"ObjectWhite",15,1,"CR",651,"bg15a","Object","White",102015,25,"männlich"
5,"ObjectBlack",16,1,"CR",694,"bg16c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",8,1,"CR",632,"bg08c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",2,1,"CR",844,"bg02a","Object","White",102015,25,"männlich"
5,"GunWhite",11,1,"Hit",631,"bg11b","Gun","White",102015,25,"männlich"
5,"ObjectWhite",12,1,"CR",721,"bg12a","Object","White",102015,25,"männlich"
5,"GunBlack",16,1,"Hit",622,"bg16d","Gun","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",1,1,"CR",660,"bg01c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",10,1,"CR",702,"bg10c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",2,1,"CR",714,"bg02c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",11,1,"Hit",602,"bg11d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",3,1,"Hit",596,"bg03d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",8,1,"Hit",667,"bg08b","Gun","White",102015,25,"männlich"
5,"GunWhite",20,1,"Hit",653,"bg20b","Gun","White",102015,25,"männlich"
5,"ObjectBlack",9,1,"CR",622,"bg09c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",13,1,"CR",695,"bg13a","Object","White",102015,25,"männlich"
5,"GunBlack",13,1,"Hit",584,"bg13d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",12,1,"Hit",765,"bg12b","Gun","White",102015,25,"männlich"
5,"GunWhite",13,1,"Hit",612,"bg13b","Gun","White",102015,25,"männlich"
5,"GunWhite",5,0,"Noresponse",850,"bg05b","Gun","White",102015,25,"männlich"
5,"GunBlack",17,1,"Hit",545,"bg17d","Gun","Arab-Muslim",102015,25,"männlich"
