"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
290,TRUE,"I don't know","female",51,17,4.83,709,0.98,FALSE,518,0.66,0.68,0.64,-0.04,FALSE,2,"Race IAT","incongruent","ratings first"
291,TRUE,"Only black faces","female",37,13,4,922,0.91,FALSE,508,0.72,0.74,0.7,-0.04,FALSE,3,"Race IAT","congruent","SCIAT first"
292,TRUE,"I don't know","female",23,15,4,604,0.95,FALSE,502,0.41,0.42,0.4,-0.02,FALSE,4,"Race IAT","incongruent","SCIAT first"
293,TRUE,"Only black faces","male",21,13,3.5,765,0.94,FALSE,516,0.53,0.52,0.54,0.02,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
294,TRUE,"Only black faces","female",51,17,4.83,746,0.97,FALSE,546,0.58,0.56,0.6,0.0399999999999999,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
297,TRUE,"Only black faces","male",48,12,4.33,615,0.9,FALSE,428,0.49,0.58,0.4,-0.18,FALSE,1,"Race IAT","congruent","ratings first"
298,TRUE,"Only black faces","female",28,18,4,982,0.94,FALSE,444,0.54,0.98,0.1,-0.88,FALSE,2,"Race IAT","incongruent","ratings first"
305,TRUE,"Only black faces","male",18,19,4.33,1093,0.93,FALSE,646,0.79,0.7,0.88,0.18,FALSE,1,"Race IAT","congruent","ratings first"
306,TRUE,"Only black faces","female",21,15,3.33,760,0.82,FALSE,526,0.64,0.76,0.52,-0.24,FALSE,2,"Race IAT","incongruent","ratings first"
308,TRUE,"Only black faces","male",22,19,4.67,817,0.99,FALSE,537,0.8,0.84,0.76,-0.08,FALSE,4,"Race IAT","incongruent","SCIAT first"
309,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,"Flowers-Insects IAT","congruent","ratings first"
312,TRUE,"Only black faces","female",29,14,4,889,0.95,FALSE,483,0.99,1,0.98,-0.02,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
315,TRUE,"Only black faces","male",26,20,4.17,1019,1,FALSE,865,0.36,0.32,0.4,0.08,FALSE,3,"Race IAT","congruent","SCIAT first"
316,TRUE,"Only black faces","female",24,12,4.67,592,0.94,FALSE,422,0.74,0.62,0.86,0.24,FALSE,4,"Race IAT","incongruent","SCIAT first"
324,TRUE,"Only black faces","male",47,16,4,863,0.93,FALSE,530,0.59,0.64,0.54,-0.1,FALSE,4,"Race IAT","incongruent","SCIAT first"
330,TRUE,"Only black faces","female",55,17,4.67,883,0.94,FALSE,773,0.52,0.58,0.46,-0.12,FALSE,2,"Race IAT","incongruent","ratings first"
332,TRUE,"Both white and black faces","male",51,18,4.67,995,0.96,FALSE,901,0.59,0.54,0.64,0.1,FALSE,4,"Race IAT","incongruent","SCIAT first"
333,TRUE,"Only black faces","male",51,14,3.83,908,0.99,FALSE,726,0.62,0.46,0.78,0.32,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
335,TRUE,"Only black faces","female",33,18,3.5,978,0.89,FALSE,503,0.68,0.66,0.7,0.0399999999999999,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
